# Credits to https://github.com/JeffSackmann/tennis_wta
Id,First Name,Last Name,Country
200769,Giulia,Casoni,ITA
200770,Stephanie,Cohen Aloro,FRA
200771,Sophie,Erre,FRA
200772,Anastasia,Myskina,RUS
200773,Stephanie,Foretz Gacon,FRA
200774,Vanessa,Webb,CAN
200775,Tatiana,Kovaltchouk,UKR
200776,Angelika,Bachmann,GER
200777,Marta,Marrero,ESP
200778,Irene,Fraisse,FRA
200779,Maryna,Proctor,RSA
200780,Irena,Skulj,YUG
200781,Edda,Buding,FRG
200782,Esme,Emanuel,RSA
200783,Jitka,Volavkova,TCH
200784,Faye,Moore,AUS
200785,Vlasta,Kodesova,CZE
200786,Claudine,Rouire,FRA
200787,Fiorella,Bonicelli,URU
200788,Carol Ann,Kalogeropoulos,GRE
200789,Lea,Pericoli,ITA
200790,Paola,Palacios,COL
200791,Rosy,Darmon,FRA
200792,Christina,Lindstrom,FIN
200793,Mabel,Vrancovich,ARG
200794,Marianne,Kindler,SUI
200795,Patricia,Montano,MEX
200796,Sally,Holdsworth,GBR
200797,Anne Marie,Studer,SUI
200798,Lubka,Radkova,BUL
200799,Christiane,Spinoza,FRA
200800,Frances,Maclennan,GBR
200801,Kora,Schediwy,FRG
200802,Marion,Cristiani,FRA
200803,Raquel,Giscafre,ARG
200804,Anna,Dmitrieva,URS
200805,Aline,Nenot,FRA
200806,Birgitta,Lindstrom,FIN
